date,question,answer,category
2001-06-04,¿Qué es un fondo de inversión de objeto limitado?,Un fondo que se especializa en inversiones con un objetivo específico y limitado.,Fondos de Inversión
2001-06-04,¿Qué establece la ley sobre la publicidad de los fondos de inversión?,No deben utilizarse términos que confundan al público con actividades no autorizadas.,Fondos de Inversión
2001-06-04,¿Quién puede solicitar la disolución de un fondo de inversión?,La Comisión o el consejo de administración del fondo.,Fondos de Inversión
2001-06-04,¿Cómo se constituye un fondo de inversión según el artículo 8?,Mediante autorización de la Comisión y sin necesidad de escritura ante notario.,Fondos de Inversión
2001-06-04,¿Qué es la supervisión de los fondos de inversión de capitales?,La evaluación periódica de los riesgos y la liquidez de los activos del fondo.,Fondos de Inversión
2001-06-04,¿Qué es un fondo de inversión de cobertura?,Un fondo que invierte en activos para protegerse de riesgos financieros.,Fondos de Inversión
2001-06-04,¿Cuál es la responsabilidad de los miembros del consejo de administración?,Procurar la creación de valor para el fondo sin favorecer a un accionista específico.,Fondos de Inversión
2001-06-04,¿Qué es una fusión de fondos de inversión?,La combinación de dos o más fondos bajo un solo administrador.,Fondos de Inversión
2001-06-04,¿Qué operaciones pueden realizar los fondos de inversión?,Adquirir activos emitir valores y obtener préstamos.,Fondos de Inversión
2001-06-04,¿Qué es una acción representativa del capital social fijo de un fondo?,Una acción emitida solo para el socio fundador sin derecho a retiro.,Fondos de Inversión
2001-06-04,¿Qué son las acciones de la parte variable del capital de un fondo?,Acciones que pueden ser libremente suscritas y otorgan derechos económicos.,Fondos de Inversión
2001-06-04,¿Qué es la nulidad relativa de un acto jurídico en los fondos de inversión?,La nulidad parcial por incumplimiento de forma legal en los contratos.,Fondos de Inversión
2001-06-04,¿Qué debe hacer el liquidador en el proceso de liquidación?,Elaborar un dictamen sobre la situación del fondo y cobrar o pagar deudas.,Fondos de Inversión
2001-06-04,¿Qué requiere la escisión de un fondo de inversión?,Acuerdos del consejo de administración y autorización de la Comisión.,Fondos de Inversión
2001-06-04,¿Qué es un prospecto de información al público inversionista?,Un documento que contiene detalles clave para los inversionistas de un fondo.,Fondos de Inversión
2001-06-04,¿Qué debe incluir el prospecto de un fondo de inversión?,Políticas de inversión riesgos y comisiones entre otros.,Fondos de Inversión
2001-06-04,¿Qué es la Comisión Nacional Bancaria y de Valores (CNBV)?,Es la autoridad reguladora de los fondos de inversión en México.,Fondos de Inversión
2001-06-04,¿Qué pasa si un fondo no sigue las disposiciones legales?,Puede recibir sanciones administrativas o penales.,Fondos de Inversión
2001-06-04,¿Qué son los fondos de inversión abiertos?,Fondos que pueden recomprar sus acciones a los inversionistas.,Fondos de Inversión
2001-06-04,¿Qué es el capital mínimo de un fondo de inversión?,Es el monto mínimo que un fondo debe tener totalmente pagado.,Fondos de Inversión
2001-06-04,¿Quiénes pueden ser accionistas de la parte fija del capital de un fondo?,Solo el socio fundador.,Fondos de Inversión
2001-06-04,¿Qué es una asamblea de accionistas?,Un órgano donde los accionistas toman decisiones importantes.,Fondos de Inversión
2001-06-04,¿Los fondos de inversión deben tener asamblea de accionistas?,No la ley exceptúa a los fondos de esta obligación.,Fondos de Inversión
2001-06-04,¿Qué son los servicios de distribución de acciones?,Son servicios para vender las acciones de los fondos a inversionistas.,Fondos de Inversión
2001-06-04,¿Quién puede liquidar un fondo de inversión?,El liquidador designado por la sociedad operadora o la CNBV.,Fondos de Inversión
2001-06-04,¿Qué tipos de acciones pueden emitir los fondos de inversión?,Acciones de capital fijo y capital variable.,Fondos de Inversión
2001-06-04,¿Qué es un fondo de inversión de capitales?,Un fondo que invierte en acciones de empresas para obtener rendimientos a largo plazo.,Fondos de Inversión
2001-06-04,¿Qué pasa si un fondo de inversión entra en concurso mercantil?,La CNBV puede solicitar la disolución y liquidación del fondo.,Fondos de Inversión
2001-06-04,¿Qué son las acciones de tesorería?,Son acciones compradas por el fondo que quedan en su poder.,Fondos de Inversión
2001-06-04,¿Qué son los fondos de inversión de cobertura?,Fondos que invierten en instrumentos para reducir riesgos financieros.,Fondos de Inversión
2001-06-04,¿Qué derechos tienen los accionistas de un fondo de inversión cerrado?,Tienen derechos sobre las ganancias y la liquidación del fondo.,Fondos de Inversión
2001-06-04,¿Qué establece el artículo 14 Bis sobre las acciones de un fondo?,Las acciones de capital fijo son suscritas solo por el socio fundador.,Fondos de Inversión
2001-06-04,¿Qué es el Registro Nacional de Valores?,Un registro donde se inscriben los valores emitidos en México.,Fondos de Inversión
2001-06-04,¿Qué es la recompra de acciones en un fondo abierto?,El derecho de los accionistas a vender sus acciones al fondo a precio de valuación.,Fondos de Inversión
2001-06-04,¿Qué establece el artículo 8 sobre la constitución de fondos?,Requiere la autorización de la CNBV sin necesidad de acta ante notario.,Fondos de Inversión
2001-06-04,¿Qué significa la autorización de la CNBV para un fondo?,No implica garantía sobre la solvencia o el desempeño del fondo.,Fondos de Inversión
2001-06-04,¿Qué es la valuación diaria de un fondo de inversión?,El proceso de calcular el valor de las acciones del fondo cada día.,Fondos de Inversión
2001-06-04,¿Qué sucede si un fondo de inversión incumple con sus obligaciones?,Los inversionistas pueden exigir responsabilidad civil por daños.,Fondos de Inversión
2001-06-04,¿Qué derechos tienen los accionistas en caso de disolución del fondo?,Tienen derecho a un reembolso conforme al valor del balance de liquidación.,Fondos de Inversión
2001-06-04,¿Qué tipos de fondos de inversión existen según el artículo 6?,De renta variable instrumentos de deuda capitales y cobertura.,Fondos de Inversión
2001-06-04,¿Cómo se regula la publicidad de los fondos de inversión?,Solo las entidades autorizadas pueden usar términos como fondo de inversión.,Fondos de Inversión
2001-06-04,¿Qué operaciones están prohibidas para los fondos de inversión?,Realizar actividades fuera de las permitidas por la ley o que impliquen conflicto de intereses.,Fondos de Inversión
2001-06-04,¿Qué debe hacer un fondo de inversión en caso de problemas de liquidez?,Puede escindirse o ajustar sus políticas bajo la supervisión de la CNBV.,Fondos de Inversión
2001-06-04,¿Qué es la disolución anticipada de un fondo de inversión?,Es el proceso de terminar el fondo antes de lo previsto según lo establece la ley.,Fondos de Inversión
2001-06-04,¿Qué es una sociedad operadora de fondos de inversión?,Una entidad encargada de la administración de uno o más fondos de inversión.,Fondos de Inversión
2001-06-04,¿Qué documentos son necesarios para crear un fondo de inversión?,Un acta constitutiva prospecto de información y el capital mínimo entre otros.,Fondos de Inversión
2001-06-04,¿Qué es la administración integral de riesgos en un fondo de inversión?,La gestión y evaluación continua de los riesgos financieros del fondo.,Fondos de Inversión
2001-06-04,¿Qué sucede cuando un fondo de inversión se fusiona?,Se combina con otro fondo del mismo tipo con autorización de la CNBV.,Fondos de Inversión
2001-06-04,¿Qué es un fondo de inversión en instrumentos de deuda?,Un fondo que invierte en bonos y otros títulos de deuda.,Fondos de Inversión
2001-06-04,¿Qué son las políticas de inversión de un fondo?,Son las reglas que definen en qué activos puede invertir el fondo.,Fondos de Inversión
2001-06-04,¿Qué son los accionistas de capital variable?,Inversionistas que pueden suscribir libremente acciones de un fondo.,Fondos de Inversión
2001-06-04,¿Qué pasa si un fondo de inversión no cumple con las políticas de inversión?,Puede ser sancionado por la CNBV y los accionistas pueden demandar.,Fondos de Inversión
2001-06-04,¿Qué es la calificación de un fondo de inversión?,Es una evaluación sobre los riesgos y la calidad del fondo.,Fondos de Inversión
2001-06-04,¿Qué sucede si un fondo de inversión incumple con sus acreedores?,Los acreedores pueden solicitar el pago de sus créditos a través de procedimientos judiciales.,Fondos de Inversión
2001-06-04,¿Qué establece el artículo 9 sobre el prospecto de información?,Debe ser autorizado por la CNBV y contener información clave para los inversionistas.,Fondos de Inversión
2001-06-04,¿Qué implica el término fondo de inversión de capitales?,Es un fondo que invierte en acciones de empresas para obtener rendimientos a largo plazo.,Fondos de Inversión
2001-06-04,¿Qué es la suspensión de recompra de acciones?,Es la interrupción temporal o extraordinaria de la recompra de acciones en un fondo abierto.,Fondos de Inversión
2001-06-04,¿Qué son los derechos preferenciales en los fondos de inversión?,Derechos para suscribir o recomprar acciones bajo condiciones específicas.,Fondos de Inversión
2001-06-04,¿Qué pasa si un fondo de inversión no puede valuarse correctamente?,Puede escindirse o reestructurarse para proteger a los inversionistas.,Fondos de Inversión
2001-06-04,¿Qué es la disolución y liquidación de un fondo de inversión?,Es el proceso legal para terminar el fondo y repartir sus activos.,Fondos de Inversión
2001-06-04,¿Qué operaciones pueden realizar los fondos de inversión de cobertura?,Operaciones con derivados y otros instrumentos para mitigar riesgos financieros.,Fondos de Inversión
2001-06-04,¿Qué responsabilidad tienen los miembros del consejo de administración?,Deben actuar en beneficio del fondo y evitar conflictos de interés.,Fondos de Inversión
2001-06-04,¿Qué se necesita para una escisión de un fondo de inversión?,Acuerdo del consejo autorización de la CNBV y un plan de escisión.,Fondos de Inversión
2001-06-04,¿Cuál es el papel de la CNBV en la operación de los fondos de inversión?,Regular supervisar y sancionar a los fondos de inversión.,Fondos de Inversión
2001-06-04,¿Qué criterios utiliza la CNBV para categorizar los fondos de inversión?,Diversificación horizonte de inversión liquidez entre otros.,Fondos de Inversión
2001-06-04,¿Cómo se calcula la valuación diaria de un fondo de inversión?,Con base en los precios de mercado de los activos en su portafolio.,Fondos de Inversión
2001-06-04,¿Qué diferencia hay entre un fondo de inversión de renta variable y uno de deuda?,El primero invierte en acciones el segundo en títulos de deuda.,Fondos de Inversión
2001-06-04,¿Qué políticas deben seguir los fondos para la compra de activos?,Las establecidas en el prospecto de inversión autorizado por la CNBV.,Fondos de Inversión
2001-06-04,¿Qué información clave debe incluirse en el prospecto de un fondo?,Política de inversión riesgos comisiones y derechos de los inversionistas.,Fondos de Inversión
2001-06-04,¿Cómo puede un fondo de inversión mitigar riesgos financieros?,A través de estrategias de cobertura y diversificación.,Fondos de Inversión
2001-06-04,¿Cuál es la función de un liquidador en un fondo de inversión en disolución?,Finiquitar las obligaciones del fondo y distribuir los activos.,Fondos de Inversión
2001-06-04,¿Qué responsabilidad tiene la sociedad operadora en la administración de un fondo?,Gestionar los activos del fondo de acuerdo con las políticas aprobadas.,Fondos de Inversión
2001-06-04,¿Cómo se clasifican los fondos de inversión según su régimen de inversión?,En renta variable deuda capitales y cobertura.,Fondos de Inversión
2001-06-04,¿Qué sucede si un fondo de inversión incumple con las disposiciones legales?,Puede enfrentar sanciones administrativas civiles y penales.,Fondos de Inversión
2001-06-04,¿Cómo se protege a los inversionistas en un fondo de inversión cerrado?,A través de reglas claras sobre sus derechos en el prospecto de inversión.,Fondos de Inversión
2001-06-04,¿Qué medidas puede tomar la CNBV ante un fondo con problemas de liquidez?,Ordenar la suspensión de recompra de acciones o la escisión del fondo.,Fondos de Inversión
2001-06-04,¿Cuál es el procedimiento para la fusión de dos fondos de inversión?,Requiere aprobación del consejo de administración y autorización de la CNBV.,Fondos de Inversión
2001-06-04,¿Qué establece el artículo 8 sobre la organización de fondos de inversión?,La organización debe ser autorizada por la CNBV sin necesidad de notario.,Fondos de Inversión
2001-06-04,¿Cómo se garantiza la transparencia en la valuación de los activos de un fondo?,Mediante informes periódicos y auditorías conforme a la regulación.,Fondos de Inversión
2001-06-04,¿Qué son las acciones de capital fijo en un fondo de inversión?,Acciones suscritas por el socio fundador sin derecho a retiro.,Fondos de Inversión
2001-06-04,¿Qué derechos tienen los accionistas de la parte variable del capital?,Participar en ganancias exigir recompra de acciones y responsabilidad civil.,Fondos de Inversión
2001-06-04,¿Cómo se manejan los conflictos de interés en la administración de un fondo?,Mediante políticas aprobadas por el consejo y supervisadas por la CNBV.,Fondos de Inversión
2001-06-04,¿Qué límites de inversión deben seguir los fondos en instrumentos de deuda?,Los establecidos en el prospecto de inversión y las disposiciones de la CNBV.,Fondos de Inversión
2001-06-04,¿Qué es la suspensión extraordinaria de recompra de acciones?,La interrupción temporal de la recompra por condiciones de mercado adversas.,Fondos de Inversión
2001-06-04,¿Qué debe hacer un fondo de inversión para cumplir con sus políticas de liquidez?,Mantener un portafolio diversificado y cumplir con las políticas de recompra.,Fondos de Inversión
2001-06-04,¿Cómo se distribuyen las ganancias en un fondo de inversión?,Según lo establecido en el prospecto y las políticas de reparto de dividendos.,Fondos de Inversión
2001-06-04,¿Qué sucede si un fondo no logra cumplir con sus obligaciones financieras?,Puede solicitarse la declaración de concurso mercantil del fondo.,Fondos de Inversión
2001-06-04,¿Qué requisitos deben cumplir los liquidador de un fondo de inversión?,Experiencia en liquidación de entidades financieras y cumplimiento de normativas.,Fondos de Inversión
2001-06-04,¿Qué papel juegan las calificadoras de riesgo en los fondos de inversión?,Evaluar los riesgos de los activos del fondo y la calidad de su gestión.,Fondos de Inversión
2001-06-04,¿Qué criterios se utilizan para determinar el capital mínimo de un fondo?,Los establecidos por la CNBV según el tipo y modalidad del fondo.,Fondos de Inversión
2001-06-04,¿Cómo se regula la emisión de acciones de un fondo de inversión?,Mediante las disposiciones de la CNBV y las reglas del mercado de valores.,Fondos de Inversión
2001-06-04,¿Cuál es el impacto de una fusión de fondos en los accionistas?,Los accionistas conservan su proporción en el fondo resultante de la fusión.,Fondos de Inversión
2001-06-04,¿Cómo debe estructurarse la política de recompra en un fondo abierto?,Debe estar detallada en el prospecto y cumplir con las reglas de valuación.,Fondos de Inversión
2001-06-04,¿Qué sanciones pueden imponerse a un fondo por incumplir con la CNBV?,Multas suspensión de actividades o revocación de la autorización.,Fondos de Inversión
2001-06-04,¿Qué es la administración fiduciaria en un fondo de inversión?,La gestión de los activos del fondo en beneficio de los inversionistas bajo reglas fiduciarias.,Fondos de Inversión
2001-06-04,¿Qué disposiciones establece la ley sobre los conflictos de interés en fondos?,Las sociedades operadoras deben evitar y prevenir conflictos mediante políticas claras.,Fondos de Inversión
2001-06-04,¿Cómo se implementa la política de recompra en fondos de renta variable?,Con base en la valuación diaria de los activos y dentro de los plazos establecidos.,Fondos de Inversión
2001-06-04,¿Qué es la responsabilidad civil de los operadores de fondos?,La obligación de resarcir daños a los inversionistas por incumplimiento de las normas.,Fondos de Inversión
2001-06-04,¿Cómo se clasifican las series de acciones en un fondo?,Según las características y derechos de las diferentes clases de acciones emitidas.,Fondos de Inversión
2001-06-04,¿Qué sucede si un fondo de inversión modifica su régimen de inversión?,Los accionistas pueden exigir la recompra de sus acciones sin penalización.,Fondos de Inversión
2001-06-04,¿Qué son los límites máximos de tenencia por inversionista?,Restricciones sobre el porcentaje de acciones que puede tener un solo inversionista.,Fondos de Inversión
2001-06-04,¿Qué se requiere para la aprobación de modificaciones a un fondo?,Aprobación del consejo de administración y en algunos casos autorización de la CNBV.,Fondos de Inversión
2001-06-04,¿Qué papel juega el consejo de administración en un fondo?,Aprobar políticas contratar servicios y supervisar la operación del fondo.,Fondos de Inversión
2001-06-04,¿Qué sucede si un fondo no obtiene calificación de riesgo?,Puede tener dificultades para captar inversionistas debido a la falta de transparencia.,Fondos de Inversión
2001-06-04,¿Cómo se establecen las comisiones en los fondos de inversión?,Según lo detallado en el prospecto y las reglas aprobadas por la CNBV.,Fondos de Inversión
2001-06-04,¿Qué tipo de activos pueden incluirse en un fondo de cobertura?,Activos diseñados para mitigar riesgos como derivados y seguros.,Fondos de Inversión
2001-06-04,¿Cómo puede un fondo modificar su política de inversión?,Con la aprobación del consejo y la actualización del prospecto de inversión.,Fondos de Inversión
2001-06-04,¿Qué sucede si un fondo entra en liquidación?,Se procede a la venta de activos pago de deudas y distribución de remanentes a los accionistas.,Fondos de Inversión
2001-06-04,¿Cuál es el objetivo de la diversificación en un fondo de inversión?,Reducir riesgos mediante la inversión en una variedad de activos.,Fondos de Inversión
2001-06-04,¿Qué implica la solvencia de un fondo de inversión?,La capacidad del fondo para cumplir con sus obligaciones financieras a largo plazo.,Fondos de Inversión
2001-06-04,¿Cómo se supervisa el cumplimiento de las políticas de inversión?,A través de revisiones periódicas y auditorías internas y externas.,Fondos de Inversión
1990-07-18,¿Qué regula la Ley de Instituciones de Crédito?,El servicio de banca y crédito en México.,Instituciones de Crédito
1990-07-18,¿Cuándo se publicó originalmente esta ley de Instituciones de Crédito?,El 18 de julio de 1990.,Instituciones de Crédito
1990-07-18,¿Cuáles son las dos principales instituciones de crédito?,Banca múltiple y banca de desarrollo.,Instituciones de Crédito
1990-07-18,¿Quién puede prestar el servicio de banca y crédito?,Solo las instituciones de crédito autorizadas.,Instituciones de Crédito
1990-07-18,¿Qué significa captación de recursos del público?,Obtener fondos de personas para su colocación como crédito.,Instituciones de Crédito
1990-07-18,¿Cuál es el objetivo del Sistema Bancario Mexicano?,Apoyar el desarrollo económico y productivo del país.,Instituciones de Crédito
1990-07-18,¿Qué órgano puede interpretar administrativamente la ley?,La Secretaría de Hacienda y Crédito Público.,Instituciones de Crédito
1990-07-18,¿Cuál es el plazo máximo para resolver asuntos administrativos según la ley?,90 días.,Instituciones de Crédito
1990-07-18,¿Qué es un fideicomiso público para el fomento económico?,Un organismo que realiza operaciones de crédito de manera habitual.,Instituciones de Crédito
1990-07-18,¿Qué organismo regula el sistema bancario en México?,La Comisión Nacional Bancaria y de Valores.,Instituciones de Crédito
1990-07-18,¿Cuáles son las dos series de acciones de la banca múltiple?,Serie O y serie L.,Instituciones de Crédito
1990-07-18,¿Qué requisito debe cumplir una sociedad para ser banca múltiple?,Obtener autorización de la Comisión Nacional Bancaria y de Valores.,Instituciones de Crédito
1990-07-18,¿Cuáles son las funciones de la banca de desarrollo?,Fomentar las actividades productivas que determine el Congreso.,Instituciones de Crédito
1990-07-18,¿Cuál es la duración mínima de una sociedad de banca múltiple?,Indefinida.,Instituciones de Crédito
1990-07-18,¿Qué documentos deben presentar para obtener la autorización de operar?,Estatutos plan de funcionamiento y demás requisitos de la CNBV.,Instituciones de Crédito
1990-07-18,¿Qué porcentaje de acciones puede emitir la serie L?,Hasta el 40% del capital social ordinario.,Instituciones de Crédito
1990-07-18,¿Quiénes no pueden ser consejeros independientes?,Empleados o personas con vínculos directos con la institución.,Instituciones de Crédito
1990-07-18,¿Qué sucede si no se respeta el capital mínimo suscrito?,La CNBV puede imponer sanciones o revocar la autorización.,Instituciones de Crédito
1990-07-18,¿Cómo deben ser los poderes para asistir a una asamblea de accionistas?,Emitidos por la institución y firmados por el secretario.,Instituciones de Crédito
1990-07-18,¿Qué deben hacer las instituciones cuando reciben capital extranjero?,Informar a la CNBV y recibir su autorización.,Instituciones de Crédito
1990-07-18,¿Cuál es el límite de participación de un accionista sin autorización?,5% del capital social pagado.,Instituciones de Crédito
1990-07-18,¿Qué es el comité de auditoría de una institución bancaria?,Un órgano consultivo del consejo de administración.,Instituciones de Crédito
1990-07-18,¿Quién nombra al director general de una banca múltiple?,El consejo de administración.,Instituciones de Crédito
1990-07-18,¿Cuáles son las obligaciones de confidencialidad de los consejeros?,Guardar secreto sobre la información y deliberaciones del consejo.,Instituciones de Crédito
1990-07-18,¿Qué requisitos debe cumplir un consejero de banca múltiple?,Experiencia financiera honorabilidad e historial crediticio satisfactorio.,Instituciones de Crédito
1990-07-18,¿Qué es el capital social mínimo para operar una banca múltiple?,90 millones de Unidades de Inversión (UDIs).,Instituciones de Crédito
1990-07-18,¿Qué requisitos se exigen a los directores generales de la banca múltiple?,Experiencia mínima de 5 años y residencia en México.,Instituciones de Crédito
1990-07-18,¿Qué debe hacer una banca múltiple en caso de conflicto de interés?,El consejero involucrado debe abstenerse de votar o deliberar.,Instituciones de Crédito
1990-07-18,¿Quién puede remover a los consejeros y directivos?,La Comisión Nacional Bancaria y de Valores.,Instituciones de Crédito
1990-07-18,¿Qué órgano puede autorizar la fusión de dos bancas múltiples?,La Comisión Nacional Bancaria y de Valores.,Instituciones de Crédito
1990-07-18,¿Qué pasa si una institución realiza actividades sin autorización?,Puede perder su autorización y enfrentar sanciones.,Instituciones de Crédito
1990-07-18,¿Qué es el comité de remuneraciones?,Un comité encargado de la evaluación del sistema de pago en la institución.,Instituciones de Crédito
1990-07-18,¿Qué tipo de operaciones no puede realizar una banca de desarrollo?,Operaciones que no correspondan a su especialidad determinada por ley.,Instituciones de Crédito
1990-07-18,¿Qué es una operación contingente?,Operaciones donde el banco asume responsabilidades futuras.,Instituciones de Crédito
1990-07-18,¿Quién tiene la última palabra sobre la interpretación de la ley?,El Ejecutivo Federal a través de la Secretaría de Hacienda.,Instituciones de Crédito
1990-07-18,¿Cuál es la función principal de la CNBV en esta ley?,Supervisar y regular a las instituciones de crédito.,Instituciones de Crédito
1990-07-18,¿Qué prohibiciones existen para el capital extranjero en la banca múltiple?,No pueden controlar más del 20% del capital sin autorización.,Instituciones de Crédito
1990-07-18,¿Qué es una liquidación judicial de una banca múltiple?,Un proceso legal para cerrar la institución y pagar a sus acreedores.,Instituciones de Crédito
1990-07-18,¿Qué porcentaje del capital pueden suscribir inversionistas institucionales?,Hasta el 40% del capital social ordinario.,Instituciones de Crédito
1990-07-18,¿Qué requisitos debe cumplir una asamblea de accionistas?,Contar con un quórum mínimo y cumplir con el orden del día.,Instituciones de Crédito
1990-07-18,¿Qué sucede si una adquisición de acciones no es autorizada?,Se suspenden los derechos patrimoniales y corporativos de las acciones.,Instituciones de Crédito
1990-07-18,¿Qué es un programa de autocorrección?,Medidas internas para corregir irregularidades sin sanción externa.,Instituciones de Crédito
1990-07-18,¿Cuál es el plazo máximo para iniciar operaciones tras la autorización?,180 días.,Instituciones de Crédito
1990-07-18,¿Qué porcentaje de consejeros debe ser independiente?,Al menos 25%.,Instituciones de Crédito
1990-07-18,¿Qué funciones tiene el Banco de México en el sistema bancario?,Emitir normas y supervisar las operaciones financieras del país.,Instituciones de Crédito
1990-07-18,¿Qué ocurre si una banca múltiple no cumple con su sistema de remuneración?,La CNBV puede imponer sanciones adicionales de capitalización.,Instituciones de Crédito
1990-07-18,¿Qué es el capital neto de una banca múltiple?,El valor neto de los activos menos los pasivos que garantiza la solvencia.,Instituciones de Crédito
1990-07-18,¿Cuál es el objetivo del artículo 1 de la Ley de Instituciones de Crédito?,Regular el servicio de banca y crédito en México.,Instituciones de Crédito
1990-07-18,¿Qué operaciones no se consideran banca y crédito?,Captación de recursos mediante oferta pública registrada.,Instituciones de Crédito
1990-07-18,¿Qué constituye la captación de recursos del público?,Solicitar o recibir fondos de personas de manera profesional o habitual.,Instituciones de Crédito
1990-07-18,¿Qué instituciones forman parte del Sistema Bancario Mexicano?,Banco de México banca múltiple y banca de desarrollo.,Instituciones de Crédito
1990-07-18,¿Qué es una concesión en el sistema bancario?,Permiso del gobierno para que un fideicomiso público realice actividades bancarias.,Instituciones de Crédito
1990-07-18,¿Cuál es el rol del Estado en el sistema bancario?,Orientar el sistema bancario hacia el desarrollo económico nacional.,Instituciones de Crédito
1990-07-18,¿Qué debe promover el sistema bancario en todo el país?,El ahorro y la descentralización financiera regional.,Instituciones de Crédito
1990-07-18,¿Qué plazos deben cumplir las autoridades administrativas?,Resolver en un máximo de 90 días o el plazo que indique la ley.,Instituciones de Crédito
1990-07-18,¿Qué ocurre si una autoridad no responde dentro del plazo establecido?,Se considera una resolución negativa al promovente.,Instituciones de Crédito
1990-07-18,¿Qué es una institución de banca múltiple?,Una entidad autorizada para ofrecer servicios de banca y crédito en México.,Instituciones de Crédito
1990-07-18,¿Qué debe incluir el plan general de funcionamiento de una banca múltiple?,Operaciones a realizar medidas de seguridad y previsión financiera.,Instituciones de Crédito
1990-07-18,¿Qué requisitos debe cumplir un inversionista para adquirir más del 5% de acciones en una banca múltiple?,Obtener autorización de la CNBV.,Instituciones de Crédito
1990-07-18,¿Quién puede interpretar los preceptos de esta ley para efectos administrativos?,La Secretaría de Hacienda y Crédito Público.,Instituciones de Crédito
